customer_id,monthly_logins,weekly_active_days,avg_session_time,features_used,usage_growth_rate,last_login_days_ago,monthly_fee,total_revenue,payment_failures,discount_applied,price_increase_last_3m,support_tickets,avg_resolution_time,escalations,csat_score,email_open_rate,marketing_click_rate,nps_score,referral_count,churn,gender,age,country,city,customer_segment,signup_channel,contract_type,tenure_months,complaint_type,survey_response,low_engagement,inactive,high_support,billing_issues,risk_score,churn_risk_segment,churn_probability,churn_flag,recommended_action
cust_00001,26,7,11.76237198882082,5,0.06,7,30,660,1,yes,no,4,13.354359704932143,0,4.0,0.71,0.4,27,1,0,male,68,bangladesh,london,sme,web,monthly,22,service,satisfied,False,False,True,False,1,Medium Risk,0.49459974268417445,1,Targeted Offer / Discount
cust_00002,7,5,26.84638960973137,1,-0.28,2,30,270,1,no,yes,1,25.14008841258968,0,2.0,0.78,0.33,-19,2,1,female,57,canada,sydney,individual,mobile,monthly,9,billing,neutral,True,False,False,False,1,Medium Risk,0.564731303018704,1,Targeted Offer / Discount
cust_00003,19,5,23.38006497233134,6,0.13,23,20,1160,2,no,no,1,27.57292845215133,0,3.0,0.35,0.49,80,1,0,male,24,germany,new york,sme,web,yearly,58,service,neutral,False,False,False,True,1,Medium Risk,0.689702793018338,1,Targeted Offer / Discount
cust_00004,34,7,24.243136266362708,2,-0.17,24,30,570,0,yes,no,3,26.42082230492171,1,5.0,0.83,0.15,100,0,0,male,49,australia,dhaka,individual,mobile,yearly,19,technical,neutral,False,False,True,False,1,Medium Risk,0.371831866563617,0,No Action
cust_00005,20,6,18.87232291164992,2,-0.16,2,50,2600,0,no,no,0,26.674579176744228,0,4.0,0.65,0.44,21,1,0,male,65,bangladesh,delhi,individual,web,monthly,52,technical,unsatisfied,False,False,False,False,0,Low Risk,0.3834928975689923,0,No Action
cust_00006,1,3,20.93823726581249,2,-0.15,20,50,2700,0,no,no,0,36.03839117141806,1,4.0,0.83,0.05,-40,1,0,female,36,india,london,individual,mobile,monthly,54,technical,neutral,True,False,False,False,1,Medium Risk,0.5544219973459006,1,Targeted Offer / Discount
cust_00007,21,4,17.544416359634237,6,0.23,13,20,1080,0,no,no,1,36.89292842033735,0,4.0,0.75,0.46,-3,1,0,male,23,india,toronto,sme,mobile,monthly,54,billing,neutral,False,False,False,False,0,Low Risk,0.40235152004768465,1,Monitor Closely
cust_00008,17,7,26.18874573958236,8,0.22,7,20,140,0,yes,no,2,25.024132508085252,1,4.0,0.54,0.13,28,1,0,male,37,bangladesh,sydney,individual,referral,yearly,7,technical,satisfied,False,False,False,False,0,Low Risk,0.44227014451800806,1,Monitor Closely
cust_00009,29,4,1.0,6,-0.1,13,30,450,0,no,no,1,32.46553558480596,0,2.0,0.85,0.13,-24,0,0,male,44,india,delhi,sme,referral,monthly,15,technical,satisfied,False,False,False,False,0,Low Risk,0.3410582806818522,0,No Action
cust_00010,18,5,7.338150078144248,3,0.27,0,30,510,0,no,no,1,42.98619185872065,0,4.0,0.72,0.13,17,1,0,female,70,bangladesh,berlin,individual,mobile,monthly,17,billing,neutral,False,False,False,False,0,Low Risk,0.35623823939001803,0,No Action
